[#6:1]:[#6H:1].[#7:1]=[#6H:1],[#6:1]:[#6H:1].[#7:1]=[#6H:1]
[#8H:1].[#6H:1]:[#6:1]:[#6:1](:[#6:1])-[#6:1]=[#6H:1],[#8H:1].[#6H:1]:[#6:1]:[#6:1](:[#6:1])-[#6:1]=[#6H:1]
[#6:1]-[Si:1](-[#6:1])-[#6:1],[#6:1]-[Si:1](-[#6:1])-[#6:1]
[#6H3:1]-[#6H2:1]-[#6H:1]=[#6:1]-[#8:1],[#6H3:1]-[#6H2:1]-[#6H:1]=[#6:1]-[#8:1]
[#8H:1].[#6H:1].[#6:1]-[#8:1],[#8H:1].[#6H:1].[#6:1]-[#8:1]
[#6H:1]-[#7:1].[#7H:1],[#6H:1]-[#7:1].[#7H:1]
[#8H:1]-[#6H2:1].[#6:1]:[#6H:1],[#8H:1]-[#6H2:1].[#6:1]:[#6H:1]
[#6H3:1]-[#8:1]-[#6:1]-[#6H:1]1-[#6H2:1]-[#6H2:1]-[#8:1]-[#6H2:1]-[#6H2:1]-1,[#6H3:1]-[#8:1]-[#6:1]-[#6H:1]1-[#6H2:1]-[#6H2:1]-[#8:1]-[#6H2:1]-[#6H2:1]-1
[#6:1]=[#6:1]-[#8:1]-[#16:1]-[#6:1].[#6H:1],[#6:1]=[#6:1]-[#8:1]-[#16:1]-[#6:1].[#6H:1]
[#6H:1]:[#6:1]:[#6:1]:[#6H:1].[#6:1]-[#6H3:1].[#8H:1],[#6H:1]:[#6:1]:[#6:1]:[#6H:1].[#6:1]-[#6H3:1].[#8H:1]
[#6:1](-[#7:1]):[#7:1]:[#6:1].[#6:1]:[#7H:1],[#6:1](-[#7:1]):[#7:1]:[#6:1].[#6:1]:[#7H:1]
[#7:1]1:[#7:1]:[#7:1]:[#7:1]:[#6:1]:1,[#7:1]1:[#7:1]:[#7:1]:[#7:1]:[#6:1]:1
[#6:1]:[#6H:1].[#6:1]:[#7:1].[#6H:1],[#6:1]:[#6H:1].[#6:1]:[#7:1].[#6H:1]
[#6:1]1:[#6H:1]:[#7:1]:[#6:1](:[#6:1](:[#6H:1])-[#6H2:1]):[#6:1]:1,[#6:1]1:[#6H:1]:[#7:1]:[#6:1](:[#6:1](:[#6H:1])-[#6H2:1]):[#6:1]:1
[#6:1]1:[#7:1]:[#6:1]:[#6H:1]:[#16:1]:1.[#8H:1].[#8H:1],[#6:1]1:[#7:1]:[#6:1]:[#6H:1]:[#16:1]:1.[#8H:1].[#8H:1]
[#6H2:1].[#6H2:1].[#6H2:1].[#6H2:1],[#6H2:1].[#6H2:1].[#6H2:1].[#6H2:1]
[#6H2:1](-[#6:1]-[#7H:1])-[#6:1]-[#7H:1],[#6H2:1](-[#6:1]-[#7H:1])-[#6:1]-[#7H:1]
[#8:1]=[#6:1]1-[#6:1](=[#8:1])-[#6:1]:[#6:1]-[#6:1]:[#6:1]-1,[#8:1]=[#6:1]1-[#6:1](=[#8:1])-[#6:1]:[#6:1]-[#6:1]:[#6:1]-1
[#7H:1]-[#6:1]1:[#6H:1]:[#6:1]:[#7:1]:[#6:1]:[#6:1]:1,[#7H:1]-[#6:1]1:[#6H:1]:[#6:1]:[#7:1]:[#6:1]:[#6:1]:1
[#8:1]-[#6H2:1]-[#6:1](=[#6H2:1])-[#6H3:1],[#8:1]-[#6H2:1]-[#6:1](=[#6H2:1])-[#6H3:1]
[#6:1](:[#6H:1]:[#6H:1]):[#6H:1].[#8:1]-[#6:1],[#6:1](:[#6H:1]:[#6H:1]):[#6H:1].[#8:1]-[#6:1]
[#6H:1]:[#6:1]1:[#6H:1]:[#6H:1]:[#8:1]:[#6:1]:1,[#6H:1]:[#6:1]1:[#6H:1]:[#6H:1]:[#8:1]:[#6:1]:1
[#6:1](=[#8:1]):[#6:1]1:[#7H:1]:[#6:1]:[#7:1]:[#6:1]:1.[#6H2:1],[#6:1](=[#8:1]):[#6:1]1:[#7H:1]:[#6:1]:[#7:1]:[#6:1]:1.[#6H2:1]
[#6H:1](:[#6H:1]:[#6H:1]):[#6H:1]:[#6:1]-[#6H2:1],[#6H:1](:[#6H:1]:[#6H:1]):[#6H:1]:[#6:1]-[#6H2:1]
